,id,snippet_publishedAt,snippet_title,snippet_description,snippet_thumbnails_default_url,snippet_thumbnails_maxres_url,snippet_position,snippet_resourceId_videoId
0,Rkx4RzdSVktCaFZLMlVNeUN3RlduQVNBLjQ3MDY0RkU4NEY5QUUwNkM=,2019-10-17T07:00:23.000Z,Montreux Jazz Festival 2017 | Chilly Gonzales - Knight Moves,"KNIGHT MOVES
Writer, Composer & Performer : 
Jason “Chilly Gonzales” Beck (PRS/SOCAN)
+Co writer: Alex “Boys Noize” Rhida (GEMA)

Session Paradiso avec Chilly Gonzales
Une co-production RTS & Montreux Jazz Festival
www.montreuxjazz.com
www.rts.ch",https://i.ytimg.com/vi/jdOWxtyRuTw/default.jpg,https://i.ytimg.com/vi/jdOWxtyRuTw/maxresdefault.jpg,0,jdOWxtyRuTw
1,Rkx4RzdSVktCaFZLMlVNeUN3RlduQVNBLjMxM0NFRDJDMEU4NDY5QTU=,2019-10-17T06:49:02.000Z,// おだやかな暮らし // 優河&おおはた雄一,"2016.3.26  Tabiji リリースツアー　""舟の上の約束""
at 弘前 ASYLUM",https://i.ytimg.com/vi/w-d41Ce-BmQ/default.jpg,https://i.ytimg.com/vi/w-d41Ce-BmQ/maxresdefault.jpg,1,w-d41Ce-BmQ
2,Rkx4RzdSVktCaFZLMlVNeUN3RlduQVNBLkREQkY0NkFCNTJENUM3MDY=,2019-10-17T06:16:25.000Z,Cosi - Wolfenoot [Full Album],"Genre: Ambient, Acoustic, Instrumental
Artist: Cosi
Album: Wolfenoot (March 16, 2019)
Country: Santiago, Chile

Purchase the album: https://cosi.bandcamp.com/album/wolfenoot

Follow Cosi:
https://www.facebook.com/nalanmisael.trivinodiaz
https://twitter.com/Cosi_postrock
https://www.youtube.com/channel/UC4UKeRv47Ud3jN4Q0fMPuTw

---------------------------------------------------------------------------------------------
Like and follow WPRD on social media:
Facebook: https://www.facebook.com/wprdwells
Twitter: https://www.twitter.com/wprdwells
Instagram: https://bit.ly/2MwsMrM
Spotify: https://spoti.fi/2XxzYqH

Donate to the channel: https://www.paypal.me/wprdwells
---------------------------------------------------------------------------------------------

Tracklist:

01. Sugar Crabs 00:00
02. Happy Go Riley 03:16
03. Of Dog And Mailmen 09:53
04. Io 13:24
05. Casiopeia The Turtle 15:33
06. Lobster Love 18:55
07. The March Of The Dogs 21:11
08. Dol 25:13
09. Fat Cat And The Wuff Wuff Gang 28:03
10. Yanka The Therapy Dog 29:33
11. Osa 34:27
12. Mushroom People 35:02
13. Keeshond 36:46
14. Bow Wow Old Friend 41:06
15. Jaguar Shark 44:20
16. Say Hello To Your Local Mailman 45:36
17. Ko 51:55
18. You Are My Friend You Are Special 54:05
19. Fatal Familial Insomnia 56:31
20. Snitter And Rowf 1:01:37
21. Good Boys Good Girls 1:03:05

All rights reserved by Cosi.

#cosimusic #postrockchile #postrock2019 #electroacoustic #wprd",https://i.ytimg.com/vi/pGLaqBpAgYk/default.jpg,https://i.ytimg.com/vi/pGLaqBpAgYk/maxresdefault.jpg,2,pGLaqBpAgYk
3,Rkx4RzdSVktCaFZLMlVNeUN3RlduQVNBLkIzNTUyMkI2MTkxNkNBNDE=,2019-10-17T05:58:55.000Z,Ben Zaidi - Full Performance (Live on KEXP),"http://KEXP.ORG presents Ben Zaidi performing live in the KEXP studio. Recorded July 9, 2019.

Songs:
Breakfast In Manhattan
Irene
On Saturday
Choose You Twice

Host: Eva Walker
Audio Engineer: Kevin Suggs
Cameras: Jim Beckmann, Alaia D'Alessandro & Justin Wilmore
Editor: Alaia D'Alessandro

http://kexp.org
https://benzaidi.com",https://i.ytimg.com/vi/Gdf_5_xrFiQ/default.jpg,https://i.ytimg.com/vi/Gdf_5_xrFiQ/maxresdefault.jpg,3,Gdf_5_xrFiQ
4,Rkx4RzdSVktCaFZLMlVNeUN3RlduQVNBLjRDRTkyQTQyNzRCRTM3RTc=,2019-10-17T02:17:02.000Z,3epkano - Those Who Love To Fly Alone,"Зepkano (Ireland)
At Land (2007)
Post-rock, Instrumental 

https://3epkano.bandcamp.com/album/at-land
http://www.3epkanomusic.com
----------------------------------------------------------------------
To support me: http://bit.ly/whprpatreon
WHPR on Spotify: https://spoti.fi/2JuD7Vx
WHPR on Instagram: http://bit.ly/whprig
WHPR on Facebook: http://bit.ly/whprfb
WHPR on Twitter: http://bit.ly/whprt
To submit your music: submitwhpr@gmail.com
For removal of copyrighted music: submitwhpr@gmail.com",https://i.ytimg.com/vi/vd2bvwHri40/default.jpg,https://i.ytimg.com/vi/vd2bvwHri40/maxresdefault.jpg,4,vd2bvwHri40
5,Rkx4RzdSVktCaFZLMlVNeUN3RlduQVNBLjI1MTY4MzdENTlCRjY0REM=,2019-10-17T01:23:19.000Z,RoomVR - Bye for Now,"Bye for Now 👋
Stream: https://open.spotify.com/track/7s1dNzD1JYExHnNsDWjAZZ
🎧 Spotify Playlist: http://bit.ly/AmbientSpotify

#Ambient #WeAreAmbient #RoomVR

📸 Instagram: http://bit.ly/AmbientInstagram
🎁 Ambient Shop: https://teespring.com/stores/ambient

💬 True love cannot be found where it does not exist, nor can it be denied where it does.
-Torquato Tasso

🧡 RoomVR
https://soundcloud.com/roomvr
https://twitter.com/OfficialRoomVR
https://www.youtube.com/c/RoomVR
https://open.spotify.com/artist/6TurvkmBY4T3ZF6zFdEvL0

💿 Suggested track: https://youtu.be/-5r5IkkAlrs

✅ Check out our 24/7 livestream
https://youtube.com/c/AmbientMusicalGenre/live

🖤 Ambient Releases
https://ambientmusicalgenre.bandcamp.com
 
🎵 Submit your music:
https://www.submithub.com/blog/ambient
 
🕊️ Follow AmbientMusicalGenre
https://soundcloud.com/ambientmusicalgenre
https://youtube.com/AmbientMusicalGenre
https://facebook.com/AmbientMusicalGenre
https://vk.com/ambientmusicalgenre
https://twitter.com/AmbiiMG",https://i.ytimg.com/vi/g9NaN6kmMtw/default.jpg,https://i.ytimg.com/vi/g9NaN6kmMtw/maxresdefault.jpg,5,g9NaN6kmMtw
6,Rkx4RzdSVktCaFZLMlVNeUN3RlduQVNBLjc3RDk0RUMzOTQwNjkyMkE=,2019-10-16T08:55:37.000Z,Valleys - Extitude,"picture by Gregory Halpern:
http://gregoryhalpern.com/

stalk Extitude:
https://soundcloud.com/extitude
extitudemusic@gmail.com

stalk me:

https://instagram.com/ihazpizza

http://ihazpizza.tumblr.com
https://www.facebook.com/INESKmu
https://soundcloud.com/ihazpizza
http://www.twitter.com/ihazpizza
https://play.spotify.com/user/118120546/playlist/2f6dTjrURZtNwEnkBONe7B
https://itunes.apple.com/at/playlist/ines-k-uploads/pl.u-d2b00d2tBydEe9",https://i.ytimg.com/vi/VnH1RZqEQBo/default.jpg,https://i.ytimg.com/vi/VnH1RZqEQBo/maxresdefault.jpg,6,VnH1RZqEQBo
7,Rkx4RzdSVktCaFZLMlVNeUN3RlduQVNBLkY2NDk3MDUwRDY4NkNCREQ=,2019-10-16T07:44:29.000Z,Dystopian Valley - Just To See What The Colours Do,"Just To See What The Colours Do 🌆
Download: https://dystopianvalley.bandcamp.com/releases
🎧 Spotify Playlist: http://bit.ly/AmbientSpotify

#Ambient #WeAreAmbient #DystopianValley

📸 Instagram: http://bit.ly/AmbientInstagram
🎁 Ambient Shop: https://teespring.com/stores/ambient

💬 Man is a creative retrospection of nature upon itself.
-Karl Wilhelm Friedrich Schlegel

🧡 Dystopian Valley
https://soundcloud.com/dystopianvalley

💿 Suggested track: https://youtu.be/yYJrYXr9sK4

📷 Picture by Meiying Ng
https://unsplash.com/photos/OrwkD-iWgqg

✅ Check out our 24/7 livestream
https://youtube.com/c/AmbientMusicalGenre/live

🖤 Ambient Releases
https://ambientmusicalgenre.bandcamp.com
 
🎵 Submit your music:
https://www.submithub.com/blog/ambient
 
🕊️ Follow AmbientMusicalGenre
https://soundcloud.com/ambientmusicalgenre
https://youtube.com/AmbientMusicalGenre
https://facebook.com/AmbientMusicalGenre
https://vk.com/ambientmusicalgenre
https://twitter.com/AmbiiMG",https://i.ytimg.com/vi/riSIXPt602o/default.jpg,https://i.ytimg.com/vi/riSIXPt602o/maxresdefault.jpg,7,riSIXPt602o
8,Rkx4RzdSVktCaFZLMlVNeUN3RlduQVNBLjM3ODRGRUY3MjA1QkNGREQ=,2019-10-16T07:38:05.000Z,"Wide Waters - And Into the Forest I Go, To Lose My Mind and Find My Soul (Official Music Video)","Official music video of 'And Into the Forest I Go, To Lose My Mind and Find My Soul' by New York based instrumental post-rock outfit Wide Waters. Their album 'Among The Pines' was released on October 4, 2019.

Purchase the album: https://widewaters.bandcamp.com/album/among-the-pines

Follow Wide Waters:
Website: http://widewatersmusic.com
Facebook: https://www.facebook.com/widewatersmusic/
Instagram: https://www.instagram.com/wide_waters/
YouTube: https://bit.ly/2AUgDpH
Spotify: https://spoti.fi/2OC8Dl8

------------------------------------------------------------------------------------------------
Like and follow WPRD on social media:
Facebook: https://www.facebook.com/wprdwells
Twitter: https://www.twitter.com/wprdwells
Instagram: https://bit.ly/2MwsMrM
Spotify: https://spoti.fi/2XxzYqH

Donate to the channel: https://www.paypal.me/wprdwells.
------------------------------------------------------------------------------------------------

All rights reserved by Wide Waters.

#postrock2019 #widewaters #postrockmusicvideo #postrocknewyork #wprd",https://i.ytimg.com/vi/Ai-9GSFmNpo/default.jpg,https://i.ytimg.com/vi/Ai-9GSFmNpo/maxresdefault.jpg,8,Ai-9GSFmNpo
9,Rkx4RzdSVktCaFZLMlVNeUN3RlduQVNBLjNCODhGNUM4REZGRDMzRjQ=,2019-10-16T07:27:44.000Z,Wide Waters - Sleeping Limbs [Single],"Genre: Post Rock, Cinematic, Instrumental
Artist: Wide Waters
Track: Sleeping Limbs 
Album: Among The Pines (October 4, 2019)
Country: New York, USA

Purchase the album: https://widewaters.bandcamp.com/album/among-the-pines

Follow Wide Waters:
Website: https://www.widewatersmusic.com
Facebook: https://www.facebook.com/widewatersmusic/
Instagram: https://www.instagram.com/wide_waters/
YouTube: https://bit.ly/2AUgDpH
Spotify: https://spoti.fi/33hzR4E/

------------------------------------------------------------------------------------------------
Like and follow WPRD on social media:
Facebook: https://www.facebook.com/wprdwells
Twitter: https://www.twitter.com/wprdwells
Instagram: https://bit.ly/2MwsMrM
Spotify: https://spoti.fi/2XxzYqH

Donate to the channel: https://www.paypal.me/wprdwells.
------------------------------------------------------------------------------------------------

All rights reserved by Wide Waters.

#postrock2019 #widewaters #cinematicpostrock #postrocknewyork #wprd",https://i.ytimg.com/vi/0nKei2A6BBM/default.jpg,https://i.ytimg.com/vi/0nKei2A6BBM/maxresdefault.jpg,9,0nKei2A6BBM
